athlete,gender,region,wod,score,rank,overall_score,overall_rank
Kirsten Burgess,f,africa,14_3,130,56,305,46
Sherilee Strauss,f,africa,14_3,131,45,339,54
Tamarr Schroeder,f,africa,14_3,131,47,350,55
Kerin Schwartz,f,africa,14_3,133,38,155,21
Heike Kotze,f,africa,14_3,133,40,184,26
nicole scott,f,africa,14_3,134,34,210,32
Diane Hope,f,africa,14_3,134,36,270,41
Gina Goosen,f,africa,14_3,134,35,292,45
Elzke de Goede,f,africa,14_3,134,37,310,50
Janine Penniall,f,africa,14_3,135,29,107,11
Estevan Strauss,f,africa,14_3,135,30,146,20
Ellie Hagopian,f,africa,14_3,135,32,241,35
Chrizelda Horn,f,africa,14_3,135,31,262,39
Anishce Venter,f,africa,14_3,136,25,103,8
Charlotte van der haer,f,africa,14_3,136,26,251,37
Cindy Ellis,f,africa,14_3,137,23,103,8
Wilna Appel,f,africa,14_3,137,21,115,12
Lindsay Duvenage,f,africa,14_3,137,21,195,28
Izelle Le Roux,f,africa,14_3,137,24,306,47
Sibyl Cooke,f,africa,14_3,138,19,126,14
Kelly Fisher,f,africa,14_3,138,18,145,19
Natalie Mohr,f,africa,14_3,139,16,140,16
Toni Siwela,f,africa,14_3,139,17,162,22
Lara Erlank,f,africa,14_3,140,15,33,4
Lariska de Bruyn,f,africa,14_3,140,14,126,14
Nicole Seymour,f,africa,14_3,142,12,26,2
Chantal Kruger,f,africa,14_3,142,13,119,13
Tasquane Hufkie,f,africa,14_3,143,10,103,8
Jeanine Knipe,f,africa,14_3,143,11,380,59
Celestie Engelbrecht,f,africa,14_3,144,9,142,17
Annelize Raath,f,africa,14_3,145,8,168,23
Holly Myers,f,africa,14_3,147,7,98,7
Mary Jamieson,f,africa,14_3,149,5,27,3
Janine Prinsloo,f,africa,14_3,152,4,72,5
Dina Swift,f,africa,14_3,152,3,78,6
Beatrix Large,f,africa,14_3,155,2,204,30
Rika Diedericks,f,africa,14_3,163,1,18,1
Elzke de Goede,f,africa,14_4,156,115,310,50
Flavia Busacker,f,africa,14_4,157,109,364,58
Sherilee Strauss,f,africa,14_4,162,84,339,54
Lane Grobbelaar,f,africa,14_4,164,79,273,42
Jane Van der Merwe,f,africa,14_4,164,79,318,51
Jancke Rentel,f,africa,14_4,165,73,356,57
Jeanine Knipe,f,africa,14_4,165,73,380,59
Yolandie Dixon,f,africa,14_4,168,72,286,44
Kerin Schwartz,f,africa,14_4,169,71,155,21
Anmarie van der Walt,f,africa,14_4,170,67,329,52
Tamarr Schroeder,f,africa,14_4,171,65,350,55
Vicky Polydorou,f,africa,14_4,172,60,247,36
Gina Goosen,f,africa,14_4,172,60,292,45
nicole scott,f,africa,14_4,173,57,210,32
Charlotte van der haer,f,africa,14_4,173,57,251,37
Diane Hope,f,africa,14_4,174,54,270,41
Charnè Smyth,f,africa,14_4,174,54,308,49
Kelly Fisher,f,africa,14_4,175,48,145,19
Chrizelda Horn,f,africa,14_4,175,48,262,39
Kelly Geyer,f,africa,14_4,175,48,264,40
Kirsten Burgess,f,africa,14_4,175,48,305,46
Kirsty-Jane Elliott,f,africa,14_4,176,47,332,53
Anneke De Beer,f,africa,14_4,177,44,256,38
Josie De Rose,f,africa,14_4,177,44,383,60
Natasha King,f,africa,14_4,178,43,284,43
Sibyl Cooke,f,africa,14_4,179,37,126,14
Celestie Engelbrecht,f,africa,14_4,179,37,142,17
Lindsay Duvenage,f,africa,14_4,179,37,195,28
Michelle Louw,f,africa,14_4,179,37,306,47
Dina Swift,f,africa,14_4,180,17,78,6
Anishce Venter,f,africa,14_4,180,18,103,8
Chantal Kruger,f,africa,14_4,180,16,119,13
Lariska de Bruyn,f,africa,14_4,180,27,126,14
Natalie Mohr,f,africa,14_4,180,22,140,16
Estevan Strauss,f,africa,14_4,180,26,146,20
Toni Siwela,f,africa,14_4,180,34,162,22
Annelize Raath,f,africa,14_4,180,19,168,23
Justine Phillips,f,africa,14_4,180,33,174,24
Heike Kotze,f,africa,14_4,180,20,184,26
Susan Claassen,f,africa,14_4,180,35,194,27
Lientjie Saaiman,f,africa,14_4,180,25,203,29
Twani Smith,f,africa,14_4,180,28,220,33
Eva Thornton,f,africa,14_4,180,29,223,34
Ellie Hagopian,f,africa,14_4,180,31,241,35
Izelle Le Roux,f,africa,14_4,180,23,306,47
Johanni Hugo,f,africa,14_4,180,32,351,56
Holly Myers,f,africa,14_4,181,13,98,7
Tasquane Hufkie,f,africa,14_4,181,15,103,8
Odette Calitz,f,africa,14_4,181,14,209,31
Mary Jamieson,f,africa,14_4,182,11,27,3
Cindy Ellis,f,africa,14_4,182,12,103,8
Nicole Seymour,f,africa,14_4,183,4,26,2
Janine Prinsloo,f,africa,14_4,183,6,72,5
Wilna Appel,f,africa,14_4,183,7,115,12
Suzie Assenmacher,f,africa,14_4,183,9,144,18
Zandri Potgieter,f,africa,14_4,183,10,175,25
Beatrix Large,f,africa,14_4,183,8,204,30
Janine Penniall,f,africa,14_4,184,3,107,11
Rika Diedericks,f,africa,14_4,187,1,18,1
Lara Erlank,f,africa,14_4,187,2,33,4
Nicole Seymour,f,africa,14_5,NA,1,26,2
Mary Jamieson,f,africa,14_5,NA,2,27,3
Rika Diedericks,f,africa,14_5,NA,3,18,1
Vicky Polydorou,f,africa,14_5,NA,4,247,36
Lara Erlank,f,africa,14_5,NA,5,33,4
Dina Swift,f,africa,14_5,NA,5,78,6
Natasha King,f,africa,14_5,NA,8,284,43
Anishce Venter,f,africa,14_5,NA,9,103,8
Lientjie Saaiman,f,africa,14_5,NA,10,203,29
Odette Calitz,f,africa,14_5,NA,10,209,31
Suzie Assenmacher,f,africa,14_5,NA,12,144,18
Toni Siwela,f,africa,14_5,NA,13,162,22
Ellie Hagopian,f,africa,14_5,NA,14,241,35
Kelly Fisher,f,africa,14_5,NA,15,145,19
Justine Phillips,f,africa,14_5,NA,16,174,24
Sibyl Cooke,f,africa,14_5,NA,17,126,14
Cindy Ellis,f,africa,14_5,NA,18,103,8
Kerin Schwartz,f,africa,14_5,NA,18,155,21
Janine Prinsloo,f,africa,14_5,NA,20,72,5
Tasquane Hufkie,f,africa,14_5,NA,23,103,8
Twani Smith,f,africa,14_5,NA,24,220,33
Kelly Geyer,f,africa,14_5,NA,26,264,40
Susan Claassen,f,africa,14_5,NA,27,194,27
Anneke De Beer,f,africa,14_5,NA,27,256,38
Lindsay Duvenage,f,africa,14_5,NA,29,195,28
Chantal Kruger,f,africa,14_5,NA,31,119,13
Flavia Busacker,f,africa,14_5,NA,32,364,58
Holly Myers,f,africa,14_5,NA,34,98,7
nicole scott,f,africa,14_5,NA,34,210,32
Jeanine Knipe,f,africa,14_5,NA,37,380,59
Lane Grobbelaar,f,africa,14_5,NA,39,273,42
Jancke Rentel,f,africa,14_5,NA,39,356,57
Heike Kotze,f,africa,14_5,NA,41,184,26
Charlotte van der haer,f,africa,14_5,NA,41,251,37
Kirsten Burgess,f,africa,14_5,NA,43,305,46
Elzke de Goede,f,africa,14_5,NA,44,310,50
Janine Penniall,f,africa,14_5,NA,45,107,11
Estevan Strauss,f,africa,14_5,NA,45,146,20
Natalie Mohr,f,africa,14_5,NA,47,140,16
Zandri Potgieter,f,africa,14_5,NA,48,175,25
Izelle Le Roux,f,africa,14_5,NA,49,306,47
Josie De Rose,f,africa,14_5,NA,54,383,60
Diane Hope,f,africa,14_5,NA,55,270,41
Charnè Smyth,f,africa,14_5,NA,57,308,49
Wilna Appel,f,africa,14_5,NA,58,115,12
Celestie Engelbrecht,f,africa,14_5,NA,60,142,17
Anmarie van der Walt,f,africa,14_5,NA,63,329,52
Kirsty-Jane Elliott,f,africa,14_5,NA,64,332,53
Annelize Raath,f,africa,14_5,NA,68,168,23
Lariska de Bruyn,f,africa,14_5,NA,70,126,14
Eva Thornton,f,africa,14_5,NA,72,223,34
Johanni Hugo,f,africa,14_5,NA,76,351,56
Chrizelda Horn,f,africa,14_5,NA,79,262,39
Gina Goosen,f,africa,14_5,NA,82,292,45
Jane Van der Merwe,f,africa,14_5,NA,84,318,51
Sherilee Strauss,f,africa,14_5,NA,86,339,54
Michelle Louw,f,africa,14_5,NA,87,306,47
Yolandie Dixon,f,africa,14_5,NA,88,286,44
Beatrix Large,f,africa,14_5,NA,115,204,30
Tamarr Schroeder,f,africa,14_5,NA,138,350,55
Patty Banks,f,asia,14_1,223,215,410,54
Ania Krasnopolska,f,asia,14_1,231,184,392,49
Tiffany Yancey,f,asia,14_1,246,158,391,48
Sharone Cohen - Porat,f,asia,14_1,249,154,346,41
Kristina Culbertson,f,asia,14_1,256,129,348,42
Sandra Soriano,f,asia,14_1,258,118,366,45
Caitlin Gerrity,f,asia,14_1,261,101,340,39
Stephanie Cherrstrom,f,asia,14_1,263,88,226,30
Jennifer Albee,f,asia,14_1,263,88,307,35
Alexandra Bessonova,f,asia,14_1,263,88,417,55
Stephanie Liew,f,asia,14_1,263,88,441,59
Choi Mi-Jung,f,asia,14_1,264,81,213,25
Lili Urrego,f,asia,14_1,264,81,396,50
Juria Maree,f,asia,14_1,265,77,339,38
Sohee Kim,f,asia,14_1,265,77,387,47
Philippa Morris,f,asia,14_1,266,71,319,37
Babs Mountain,f,asia,14_1,266,71,374,46
Christina Nymeyer,f,asia,14_1,266,71,401,51
Loriedana Ballesteros,f,asia,14_1,270,56,202,22
Song Hee Jung,f,asia,14_1,270,56,253,31
Melissa Gut,f,asia,14_1,270,56,341,40
Tamar Merkelson,f,asia,14_1,270,56,407,53
Ryanhee Youn,f,asia,14_1,270,56,433,58
Meg Tucker,f,asia,14_1,276,52,208,24
Naksuj Ssusu,f,asia,14_1,276,52,421,56
Linda Huynh,f,asia,14_1,277,51,190,20
Katherine Althoff,f,asia,14_1,284,46,85,7
Hannah Mitchell,f,asia,14_1,285,45,179,18
Kristen Johnson,f,asia,14_1,287,44,181,19
Kaylee Martin,f,asia,14_1,291,41,205,23
Gyeonghae Shin,f,asia,14_1,291,41,262,32
Marianne Gates,f,asia,14_1,292,39,223,29
Holly Purdy,f,asia,14_1,300,34,359,43
Ariane Sand,f,asia,14_1,301,33,402,52
Laura Matthews,f,asia,14_1,303,30,178,17
Laura Apollonio Bergen,f,asia,14_1,304,28,111,12
Adel Weir,f,asia,14_1,304,28,431,57
HEEJUNG CHO,f,asia,14_1,305,25,298,34
Carrie Freestone,f,asia,14_1,306,23,107,9
sarah stewart,f,asia,14_1,306,23,197,21
Crystal Sullivan,f,asia,14_1,307,20,83,6
Shark Lee,f,asia,14_1,307,20,170,15
Licia Passin,f,asia,14_1,307,20,177,16
Moe Sakio,f,asia,14_1,308,18,215,26
Trudy Sturkenboom,f,asia,14_1,308,18,441,59
Candice Ford,f,asia,14_1,309,15,95,8
Joanne Thorpe,f,asia,14_1,309,15,112,13
Gemma Lee,f,asia,14_1,310,14,215,26
Vanessa Fung,f,asia,14_1,311,13,63,4
Jenniffer Scott,f,asia,14_1,312,11,108,10
Karla Larson,f,asia,14_1,312,11,125,14
Katie Olson,f,asia,14_1,315,9,221,28
Jung Dawon,f,asia,14_1,321,8,269,33
Courtney Worthington,f,asia,14_1,322,7,109,11
seuli ku,f,asia,14_1,328,6,362,44
Inger Larsen,f,asia,14_1,338,4,77,5
Marissa Ramirez,f,asia,14_1,338,4,318,36
Eva Clarke,f,asia,14_1,344,2,25,2
Yuko Sakuyama,f,asia,14_1,344,2,32,3
Marlene Andersson,f,asia,14_1,348,1,8,1
Stephanie Liew,f,asia,14_2,108,37,441,59
Sandra Soriano,f,asia,14_2,111,35,366,45
Kristen Johnson,f,asia,14_2,112,33,181,19
Tiffany Yancey,f,asia,14_2,112,33,391,48
Babs Mountain,f,asia,14_2,113,31,374,46
Inger Larsen,f,asia,14_2,114,30,77,5
Linda Huynh,f,asia,14_2,116,27,190,20
Katie Olson,f,asia,14_2,118,25,221,28
Meg Tucker,f,asia,14_2,121,23,208,24
Sharone Cohen - Porat,f,asia,14_2,123,21,346,41
Choi Mi-Jung,f,asia,14_2,124,19,213,25
Moe Sakio,f,asia,14_2,124,19,215,26
Kaylee Martin,f,asia,14_2,126,18,205,23
Jenniffer Scott,f,asia,14_2,129,17,108,10
Katherine Althoff,f,asia,14_2,130,14,85,7
Stephanie Cherrstrom,f,asia,14_2,130,14,226,30
Gemma Lee,f,asia,14_2,132,13,215,26
Laura Apollonio Bergen,f,asia,14_2,133,12,111,12
Carrie Freestone,f,asia,14_2,135,10,107,9
Karla Larson,f,asia,14_2,135,10,125,14
Eva Clarke,f,asia,14_2,136,9,25,2
Crystal Sullivan,f,asia,14_2,137,8,83,6
Yuko Sakuyama,f,asia,14_2,139,5,32,3
Candice Ford,f,asia,14_2,139,5,95,8
Courtney Worthington,f,asia,14_2,139,5,109,11
Vanessa Fung,f,asia,14_2,141,3,63,4
Song Hee Jung,f,asia,14_2,182,2,253,31
Marlene Andersson,f,asia,14_2,194,1,8,1
Trudy Sturkenboom,f,asia,14_2,37,210,441,59
Marissa Ramirez,f,asia,14_2,39,183,318,36
Holly Purdy,f,asia,14_2,39,183,359,43
Ryanhee Youn,f,asia,14_2,52,179,433,58
Adel Weir,f,asia,14_2,59,165,431,57
Melissa Gut,f,asia,14_2,63,144,341,40
Philippa Morris,f,asia,14_2,70,121,319,37
sarah stewart,f,asia,14_2,72,113,197,21
Sohee Kim,f,asia,14_2,72,113,387,47
Jung Dawon,f,asia,14_2,73,108,269,33
Jennifer Albee,f,asia,14_2,73,108,307,35
seuli ku,f,asia,14_2,74,103,362,44
Marianne Gates,f,asia,14_2,76,91,223,29
Christina Nymeyer,f,asia,14_2,77,86,401,51
Tamar Merkelson,f,asia,14_2,78,80,407,53
Alexandra Bessonova,f,asia,14_2,78,80,417,55
Laura Matthews,f,asia,14_2,79,70,178,17
Gyeonghae Shin,f,asia,14_2,79,70,262,32
Ania Krasnopolska,f,asia,14_2,79,70,392,49
Naksuj Ssusu,f,asia,14_2,79,70,421,56
Joanne Thorpe,f,asia,14_2,80,61,112,13
Ariane Sand,f,asia,14_2,80,61,402,52
Shark Lee,f,asia,14_2,81,56,170,15
Caitlin Gerrity,f,asia,14_2,81,56,340,39
Lili Urrego,f,asia,14_2,82,52,396,50
Hannah Mitchell,f,asia,14_2,83,49,179,18
Juria Maree,f,asia,14_2,83,49,339,38
Patty Banks,f,asia,14_2,84,45,410,54
Licia Passin,f,asia,14_2,86,40,177,16
Loriedana Ballesteros,f,asia,14_2,86,40,202,22
HEEJUNG CHO,f,asia,14_2,86,40,298,34
Kristina Culbertson,f,asia,14_2,87,38,348,42
Ariane Sand,f,asia,14_3,107,204,402,52
Babs Mountain,f,asia,14_3,109,180,374,46
Lili Urrego,f,asia,14_3,109,181,396,50
HEEJUNG CHO,f,asia,14_3,111,159,298,34
Tiffany Yancey,f,asia,14_3,111,161,391,48
Naksuj Ssusu,f,asia,14_3,111,160,421,56
Gemma Lee,f,asia,14_3,112,148,215,26
Song Hee Jung,f,asia,14_3,112,149,253,31
seuli ku,f,asia,14_3,113,142,362,44
Trudy Sturkenboom,f,asia,14_3,116,126,441,59
Sharone Cohen - Porat,f,asia,14_3,118,119,346,41
Stephanie Liew,f,asia,14_3,120,114,441,59
Alexandra Bessonova,f,asia,14_3,121,111,417,55
Katie Olson,f,asia,14_3,127,90,221,28
Moe Sakio,f,asia,14_3,129,88,215,26
Marissa Ramirez,f,asia,14_3,129,86,318,36
Holly Purdy,f,asia,14_3,130,66,359,43
Sandra Soriano,f,asia,14_3,130,84,366,45
Tamar Merkelson,f,asia,14_3,130,71,407,53
Adel Weir,f,asia,14_3,130,74,431,57
Meg Tucker,f,asia,14_3,131,62,208,24
Melissa Gut,f,asia,14_3,131,57,341,40
Kristina Culbertson,f,asia,14_3,131,60,348,42
Sohee Kim,f,asia,14_3,131,61,387,47
Jenniffer Scott,f,asia,14_3,132,53,108,10
Linda Huynh,f,asia,14_3,132,52,190,20
Loriedana Ballesteros,f,asia,14_3,132,55,202,22
Carrie Freestone,f,asia,14_3,133,44,107,9
Juria Maree,f,asia,14_3,133,49,339,38
Christina Nymeyer,f,asia,14_3,133,50,401,51
Ryanhee Youn,f,asia,14_3,133,50,433,58
Laura Apollonio Bergen,f,asia,14_3,134,40,111,12
Gyeonghae Shin,f,asia,14_3,134,41,262,32
Karla Larson,f,asia,14_3,135,36,125,14
Choi Mi-Jung,f,asia,14_3,135,37,213,25
Jung Dawon,f,asia,14_3,135,38,269,33
Jennifer Albee,f,asia,14_3,135,39,307,35
Marianne Gates,f,asia,14_3,136,34,223,29
Stephanie Cherrstrom,f,asia,14_3,136,32,226,30
Courtney Worthington,f,asia,14_3,137,31,109,11
Hannah Mitchell,f,asia,14_3,137,29,179,18
Patty Banks,f,asia,14_3,137,30,410,54
Candice Ford,f,asia,14_3,138,28,95,8
Laura Matthews,f,asia,14_3,138,26,178,17
sarah stewart,f,asia,14_3,139,23,197,21
Inger Larsen,f,asia,14_3,140,21,77,5
Philippa Morris,f,asia,14_3,141,18,319,37
Caitlin Gerrity,f,asia,14_3,141,19,340,39
Licia Passin,f,asia,14_3,142,17,177,16
Katherine Althoff,f,asia,14_3,143,14,85,7
Joanne Thorpe,f,asia,14_3,143,16,112,13
Kaylee Martin,f,asia,14_3,143,15,205,23
Eva Clarke,f,asia,14_3,144,11,25,2
Yuko Sakuyama,f,asia,14_3,144,9,32,3
Crystal Sullivan,f,asia,14_3,144,12,83,6
Shark Lee,f,asia,14_3,144,10,170,15
Ania Krasnopolska,f,asia,14_3,145,8,392,49
Vanessa Fung,f,asia,14_3,148,5,63,4
Kristen Johnson,f,asia,14_3,149,4,181,19
Marlene Andersson,f,asia,14_3,182,1,8,1
Alexandra Bessonova,f,asia,14_4,173,101,417,55
Tamar Merkelson,f,asia,14_4,174,95,407,53
seuli ku,f,asia,14_4,176,83,362,44
Kristina Culbertson,f,asia,14_4,177,78,348,42
Ania Krasnopolska,f,asia,14_4,177,78,392,49
Naksuj Ssusu,f,asia,14_4,178,75,421,56
Stephanie Liew,f,asia,14_4,178,75,441,59
Courtney Worthington,f,asia,14_4,180,42,109,11
Karla Larson,f,asia,14_4,180,37,125,14
Shark Lee,f,asia,14_4,180,23,170,15
Licia Passin,f,asia,14_4,180,36,177,16
Laura Matthews,f,asia,14_4,180,28,178,17
Hannah Mitchell,f,asia,14_4,180,34,179,18
Kristen Johnson,f,asia,14_4,180,22,181,19
Linda Huynh,f,asia,14_4,180,45,190,20
sarah stewart,f,asia,14_4,180,25,197,21
Katie Olson,f,asia,14_4,180,50,221,28
Marianne Gates,f,asia,14_4,180,24,223,29
Stephanie Cherrstrom,f,asia,14_4,180,53,226,30
Song Hee Jung,f,asia,14_4,180,39,253,31
Gyeonghae Shin,f,asia,14_4,180,64,262,32
Jung Dawon,f,asia,14_4,180,40,269,33
HEEJUNG CHO,f,asia,14_4,180,43,298,34
Jennifer Albee,f,asia,14_4,180,55,307,35
Marissa Ramirez,f,asia,14_4,180,29,318,36
Philippa Morris,f,asia,14_4,180,50,319,37
Caitlin Gerrity,f,asia,14_4,180,27,340,39
Melissa Gut,f,asia,14_4,180,30,341,40
Sharone Cohen - Porat,f,asia,14_4,180,26,346,41
Holly Purdy,f,asia,14_4,180,57,359,43
Sandra Soriano,f,asia,14_4,180,44,366,45
Babs Mountain,f,asia,14_4,180,50,374,46
Sohee Kim,f,asia,14_4,180,67,387,47
Tiffany Yancey,f,asia,14_4,180,31,391,48
Lili Urrego,f,asia,14_4,180,56,396,50
Christina Nymeyer,f,asia,14_4,180,48,401,51
Ariane Sand,f,asia,14_4,180,60,402,52
Patty Banks,f,asia,14_4,180,34,410,54
Adel Weir,f,asia,14_4,180,63,431,57
Ryanhee Youn,f,asia,14_4,180,59,433,58
Trudy Sturkenboom,f,asia,14_4,180,37,441,59
Carrie Freestone,f,asia,14_4,181,17,107,9
Joanne Thorpe,f,asia,14_4,181,16,112,13
Loriedana Ballesteros,f,asia,14_4,181,21,202,22
Choi Mi-Jung,f,asia,14_4,181,19,213,25
Juria Maree,f,asia,14_4,181,20,339,38
Yuko Sakuyama,f,asia,14_4,182,15,32,3
Inger Larsen,f,asia,14_4,182,12,77,5
Meg Tucker,f,asia,14_4,182,13,208,24
Moe Sakio,f,asia,14_4,182,14,215,26
Vanessa Fung,f,asia,14_4,183,8,63,4
Laura Apollonio Bergen,f,asia,14_4,183,11,111,12
Kaylee Martin,f,asia,14_4,183,10,205,23
Gemma Lee,f,asia,14_4,183,9,215,26
Jenniffer Scott,f,asia,14_4,184,7,108,10
Crystal Sullivan,f,asia,14_4,185,4,83,6
Katherine Althoff,f,asia,14_4,185,5,85,7
Candice Ford,f,asia,14_4,187,3,95,8
Marlene Andersson,f,asia,14_4,189,2,8,1
Eva Clarke,f,asia,14_4,189,1,25,2
Yuko Sakuyama,f,asia,14_5,NA,1,32,3
Eva Clarke,f,asia,14_5,NA,2,25,2
Marlene Andersson,f,asia,14_5,NA,3,8,1
Joanne Thorpe,f,asia,14_5,NA,4,112,13
Katherine Althoff,f,asia,14_5,NA,6,85,7
Song Hee Jung,f,asia,14_5,NA,7,253,31
Tiffany Yancey,f,asia,14_5,NA,8,391,48
Inger Larsen,f,asia,14_5,NA,10,77,5
Carrie Freestone,f,asia,14_5,NA,13,107,9
sarah stewart,f,asia,14_5,NA,13,197,21
Linda Huynh,f,asia,14_5,NA,15,190,20
Marissa Ramirez,f,asia,14_5,NA,16,318,36
Jennifer Albee,f,asia,14_5,NA,17,307,35
Holly Purdy,f,asia,14_5,NA,19,359,43
Jenniffer Scott,f,asia,14_5,NA,20,108,10
Laura Apollonio Bergen,f,asia,14_5,NA,20,111,12
Hannah Mitchell,f,asia,14_5,NA,22,179,18
Courtney Worthington,f,asia,14_5,NA,24,109,11
Laura Matthews,f,asia,14_5,NA,24,178,17
Sharone Cohen - Porat,f,asia,14_5,NA,26,346,41
Lili Urrego,f,asia,14_5,NA,26,396,50
seuli ku,f,asia,14_5,NA,28,362,44
Loriedana Ballesteros,f,asia,14_5,NA,30,202,22
Karla Larson,f,asia,14_5,NA,31,125,14
Gemma Lee,f,asia,14_5,NA,31,215,26
HEEJUNG CHO,f,asia,14_5,NA,31,298,34
Vanessa Fung,f,asia,14_5,NA,34,63,4
Marianne Gates,f,asia,14_5,NA,35,223,29
Alexandra Bessonova,f,asia,14_5,NA,37,417,55
Crystal Sullivan,f,asia,14_5,NA,39,83,6
Stephanie Cherrstrom,f,asia,14_5,NA,39,226,30
Babs Mountain,f,asia,14_5,NA,42,374,46
Kristina Culbertson,f,asia,14_5,NA,43,348,42
Candice Ford,f,asia,14_5,NA,44,95,8
Ariane Sand,f,asia,14_5,NA,44,402,52
Gyeonghae Shin,f,asia,14_5,NA,46,262,32
Katie Olson,f,asia,14_5,NA,47,221,28
Trudy Sturkenboom,f,asia,14_5,NA,50,441,59
Ania Krasnopolska,f,asia,14_5,NA,52,392,49
Melissa Gut,f,asia,14_5,NA,54,341,40
Choi Mi-Jung,f,asia,14_5,NA,57,213,25
Meg Tucker,f,asia,14_5,NA,58,208,24
Philippa Morris,f,asia,14_5,NA,59,319,37
Shark Lee,f,asia,14_5,NA,61,170,15
Licia Passin,f,asia,14_5,NA,64,177,16
Naksuj Ssusu,f,asia,14_5,NA,64,421,56
Sohee Kim,f,asia,14_5,NA,69,387,47
Jung Dawon,f,asia,14_5,NA,75,269,33
Moe Sakio,f,asia,14_5,NA,76,215,26
Kristen Johnson,f,asia,14_5,NA,78,181,19
Sandra Soriano,f,asia,14_5,NA,85,366,45
Patty Banks,f,asia,14_5,NA,86,410,54
Ryanhee Youn,f,asia,14_5,NA,89,433,58
Adel Weir,f,asia,14_5,NA,101,431,57
Tamar Merkelson,f,asia,14_5,NA,105,407,53
Kaylee Martin,f,asia,14_5,NA,121,205,23
Stephanie Liew,f,asia,14_5,NA,127,441,59
Caitlin Gerrity,f,asia,14_5,NA,137,340,39
Juria Maree,f,asia,14_5,NA,144,339,38
Christina Nymeyer,f,asia,14_5,NA,146,401,51
Kate Stewart,f,australia,14_1,315,179,371,39
Whitney Teesdale,f,australia,14_1,315,179,446,52
Tamarind Robinson,f,australia,14_1,326,151,414,46
Kaitlyn Sheppard,f,australia,14_1,330,143,482,58
Veronica Torr,f,australia,14_1,333,135,441,51
Evelina Dalecki,f,australia,14_1,334,133,399,44
Madeline Sturt,f,australia,14_1,339,124,453,53
Belinda Murray,f,australia,14_1,344,114,433,48
Tai-anne Blair,f,australia,14_1,345,100,433,48
Nicola Hanna,f,australia,14_1,346,92,302,31
Darcia Ondrovcik,f,australia,14_1,346,92,472,55
Grace Dallimore,f,australia,14_1,347,87,371,39
Claire Fernandez,f,australia,14_1,348,80,470,54
Jamie Greene,f,australia,14_1,349,71,266,28
Charlotte van Veenendaal,f,australia,14_1,349,71,427,47
Amy Alessi,f,australia,14_1,349,71,481,56
Kylee Flesher,f,australia,14_1,349,71,485,59
Rebecca Gowing,f,australia,14_1,350,66,191,19
Jaime Goodwin,f,australia,14_1,350,66,255,25
Alethea Boon,f,australia,14_1,351,62,152,16
Rachael Cleave,f,australia,14_1,351,62,255,25
Beck Smith,f,australia,14_1,351,62,296,30
Kristie Williams,f,australia,14_1,351,62,306,34
Lauren Jones,f,australia,14_1,352,58,395,43
Anita Graham,f,australia,14_1,352,58,503,60
Justine Beath,f,australia,14_1,355,49,128,11
Penny Kemp,f,australia,14_1,355,49,259,27
Rebecca Wright,f,australia,14_1,355,49,305,33
Rachelle Maatouk,f,australia,14_1,355,49,381,41
Lisa Lake,f,australia,14_1,356,46,410,45
Joelene Neville,f,australia,14_1,358,42,359,38
Carly Menzies,f,australia,14_1,358,42,436,50
April Hering,f,australia,14_1,359,41,251,24
Amy Dracup,f,australia,14_1,360,35,97,6
Courtney Fitzharris,f,australia,14_1,360,35,128,11
Claire Fraser,f,australia,14_1,360,35,149,15
Tracey Stewart,f,australia,14_1,360,35,185,18
Stephanie Ortiz,f,australia,14_1,360,35,302,31
Samantha Drescher,f,australia,14_1,363,33,306,34
Jessica Coughlan,f,australia,14_1,372,30,107,8
Alahna Marshall,f,australia,14_1,377,28,178,17
Ali Murdoch,f,australia,14_1,379,27,348,37
Ashley Higgins,f,australia,14_1,380,26,112,10
Madeleine Jacques,f,australia,14_1,381,24,332,36
Amanda Allen,f,australia,14_1,382,23,73,5
